Time_s,Displacement_m
0,0
6.66298570100352e-06,1.67346810294275e-10
1.3325971402007e-05,6.69307960446766e-10
1.99889571030106e-05,1.50576455877998e-09
2.66519428040141e-05,2.67659775284044e-09
5.99668713090317e-05,1.35422555513367e-08
9.32817998140493e-05,3.27495229222282e-08
0.000126596728319067,6.02835873798235e-08
0.000159911656824085,9.61296608217908e-08
0.000326486299349173,3.99524230556916e-07
0.000493060941874261,9.08514810187906e-07
0.000659635584399349,1.62128014739779e-06
0.000826210226924437,2.53601381934477e-06
0.00165908343954988,1.00768354626474e-05
0.00249195665217532,2.24043792319393e-05
0.00332482986480076,3.93090565671557e-05
0.0041577030774262,6.05892817013025e-05
0.0070074641374156,0.000163825504180407
0.00985722519740501,0.000309060778306934
0.0127069862573944,0.000490214074603665
0.0155567473173838,0.000701742734432691
0.0187843492284722,0.000971877233521428
0.0220119511395605,0.00126906777559979
0.0252395530506488,0.0015883004643066
0.0284671549617372,0.00192495863166351
0.0325379506076534,0.00236813244033736
0.0366087462535697,0.00282641931782004
0.040679541899486,0.00329446334997461
0.0447503375454023,0.00376711032778984
0.0493638620758299,0.00430265653053066
0.0539773866062576,0.00483389924416577
0.0585909111366853,0.00535677549674635
0.063204435667113,0.00586707755094272
0.0683241537953943,0.00641405510591531
0.0734438719236756,0.00693776160975967
0.0785635900519569,0.00743516327698743
0.0836833081802381,0.00790275923101041
0.0891532585810784,0.00836573503708029
0.0946232089819186,0.0087890519751078
0.100093159382759,0.00917067870446602
0.105563109783599,0.00950793796485771
0.111097913960662,0.00980150744321731
0.116632718137726,0.0100463736742457
0.122167522314789,0.0102416065894993
0.127702326491852,0.0103857413027895
0.133035104881505,0.0104751137295282
0.138367883271157,0.0105160676304121
0.143700661660809,0.0105086390232198
0.149033440050461,0.0104526074089578
0.153698608592785,0.0103637216079881
0.158363777135108,0.0102382082873654
0.163028945677431,0.0100765837665739
0.167694114219754,0.00987935112302799
0.173740336420821,0.00957175439029367
0.179786558621888,0.00920741880797508
0.185832780822954,0.00878861680575816
0.191879003024021,0.00831766978235433
0.199755029156457,0.00763081487874329
0.207631055288893,0.00686693359012649
0.215507081421329,0.00603316125381616
0.223383107553764,0.00513842640365446
0.230058214930846,0.00433983255347515
0.236733322307927,0.00350923106767225
0.243408429685009,0.00265191547738831
0.25008353706209,0.0017748328855038
0.256758644439172,0.00088552953263874
0.263433751816253,-1.13803134491452e-05
0.270108859193335,-0.000910447762605268
0.276783966570416,-0.00180401116765624
0.28270926302205,-0.00258622417435161
0.288634559473683,-0.00335500301021824
0.294559855925317,-0.00410660744575188
0.30048515237695,-0.00483607463571045
0.306659635840959,-0.00556710542551466
0.312834119304968,-0.00626553111463552
0.319008602768977,-0.00692787112254317
0.325183086232985,-0.00754906426590729
0.331136608488514,-0.00810434134697458
0.337090130744043,-0.00861498277362916
0.343043652999572,-0.009078698599271
0.348997175255101,-0.00949205274621892
0.354745008914327,-0.00984024061891296
0.360492842573553,-0.0101376510927605
0.366240676232779,-0.010383139718768
0.371988509892005,-0.0105748229511528
0.3774463547135,-0.0107055001230462
0.382904199534994,-0.0107862193959273
0.388362044356489,-0.0108168356491163
0.393819889177984,-0.010796853039885
0.398698760027185,-0.0107359247892714
0.403577630876386,-0.0106348819515947
0.408456501725587,-0.0104941827801653
0.413335372574788,-0.0103142311064946
0.419072388300915,-0.0100531387498969
0.424809404027042,-0.00974008501817846
0.430546419753169,-0.00937679143362662
0.436283435479297,-0.00896498584114891
0.443667452224652,-0.00836699828962708
0.451051468970007,-0.00769728803884495
0.458435485715362,-0.00696143358925707
0.465819502460717,-0.00616596359936989
0.472593028473027,-0.00539024151198918
0.479366554485337,-0.00457549914697594
0.486140080497647,-0.00372706554273782
0.492913606509957,-0.00285185456284768
0.499687132522267,-0.00195746043698744
0.506460658534577,-0.00104871044186617
0.513234184546887,-0.000131262592630238
0.520007710559197,0.000786950479362251
0.526470227710302,0.00165604607310307
0.532932744861407,0.00251446218971382
0.539395262012512,0.00335742730082616
0.545857779163617,0.00417813840763607
0.552040324275856,0.00493602695407846
0.558222869388094,0.00566435483206823
0.564405414500333,0.00635947980274001
0.570587959612571,0.00701615622553808
0.576584473469292,0.00761136542096751
0.582580987326012,0.00816356130680343
0.588577501182733,0.00867023269158739
0.594574015039453,0.00912763693471615
0.600370316952078,0.00951952659357327
0.606166618864703,0.00986106958483727
0.611962920777328,0.0101509141362827
0.617759222689953,0.0103868867892064
0.623289874359657,0.0105599985154582
0.628820526029361,0.0106822016768057
0.634351177699065,0.010753188231686
0.639881829368769,0.010772227228208
0.644928462657276,0.0107438356126752
0.649975095945782,0.0106722725085864
0.655021729234288,0.0105579406146736
0.660068362522795,0.0104011428085029
0.665522030655763,0.010184487108006
0.67097569878873,0.00992002878996109
0.676429366921698,0.00960910334191807
0.681883035054666,0.00925303994005952
0.688928637912375,0.00872885186717953
0.695974240770084,0.00813624971510161
0.703019843627794,0.0074798425070054
0.710065446485503,0.00676480227662759
0.716637422407507,0.00605023587047912
0.72320939832951,0.00529426982983603
0.729781374251514,0.00450166011988163
0.736353350173518,0.00367835523679897
0.742925326095522,0.00283090351872663
0.749497302017525,0.00196387353595817
0.756069277939529,0.00108247491891877
0.762641253861533,0.000193699148380095
0.769248701086045,-0.000699736796287588
0.775856148310558,-0.00158874363440411
0.78246359553507,-0.00246815294029704
0.789071042759583,-0.00333054561670543
0.795303758546118,-0.00412155853532521
0.801536474332654,-0.00488763661968335
0.807769190119189,-0.00562485467472572
0.814001905905725,-0.00632759902142224
